,City Name,Lat,Lng,Max_temp,Humidity,Cloudiness,Wind,Country,Date
0,vaini,-21.2,-175.2,68.0,100.0,40.0,3.6,TO,1595511720.0
1,mount isa,-20.73,139.5,57.2,44.0,0.0,5.39,AU,1595511635.0
2,georgetown,5.41,100.34,84.2,79.0,20.0,0.88,MY,1595511732.0
3,dikson,73.51,80.55,42.49400000000007,86.0,0.0,4.61,RU,1595511899.0
4,barra patuca,15.8,-84.28,82.14800000000002,77.0,94.0,2.12,HN,1595511549.0
5,bredasdorp,-34.53,20.04,66.2,68.0,0.0,2.6,ZA,1595511900.0
6,busselton,-33.65,115.33,51.008,66.0,3.0,1.9,AU,1595511728.0
7,fuerte olimpo,-21.04,-57.87,86.77400000000002,27.0,0.0,3.97,PY,1595511549.0
8,mataura,-46.19,168.86,39.00200000000008,83.0,85.0,1.34,NZ,1595511677.0
9,alice springs,-23.7,133.88,46.4,52.0,0.0,1.0,AU,1595511755.0
10,byron bay,-28.65,153.62,59.0,100.0,75.0,2.1,AU,1595511282.0
11,mangochi,-14.48,35.26,72.71600000000001,43.0,88.0,3.27,MW,1595511550.0
12,ancud,-41.87,-73.82,37.004000000000055,77.0,0.0,3.1,CL,1595511900.0
14,port augusta,-32.5,137.77,46.99400000000007,80.0,59.0,3.6,AU,1595511901.0
15,wattegama,6.8,81.48,75.2,100.0,90.0,3.6,LK,1595511901.0
16,east london,-33.02,27.91,75.2,27.0,0.0,3.6,ZA,1595511901.0
17,cidreira,-30.18,-50.21,68.95400000000005,73.0,100.0,3.22,BR,1595511768.0
18,bethel,41.37,-73.41,75.99199999999999,94.0,75.0,2.1,US,1595511902.0
19,lorengau,-2.02,147.27,82.68800000000005,79.0,48.0,3.97,PG,1595511902.0
20,okha,53.57,142.95,45.842,93.0,15.0,0.88,RU,1595511903.0
21,cape town,-33.93,18.42,75.99199999999999,56.0,0.0,2.1,ZA,1595511630.0
22,pevek,69.7,170.31,47.48000000000004,72.0,0.0,0.44,RU,1595511741.0
23,flinders,-34.58,150.86,51.998000000000026,85.0,90.0,0.45,AU,1595511906.0
24,haines junction,60.75,-137.51,50.288000000000046,85.0,100.0,0.89,CA,1595511605.0
25,samarai,-10.62,150.67,77.18000000000004,84.0,15.0,4.7,PG,1595511606.0
26,bubaque,11.28,-15.83,80.87000000000006,82.0,100.0,7.39,GW,1595511906.0
27,ahipara,-35.17,173.17,56.174000000000014,74.0,94.0,5.63,NZ,1595511906.0
28,attur,11.6,78.62,85.28000000000004,65.0,100.0,0.53,IN,1595511606.0
29,bluff,-46.6,168.33,39.00200000000008,83.0,75.0,1.34,NZ,1595511907.0
30,lata,40.16,-8.33,87.99800000000002,48.0,0.0,5.11,PT,1595511907.0
31,glucholazy,50.31,17.38,66.00200000000008,67.0,68.0,0.45,PL,1595511607.0
32,bluefield,37.27,-81.22,69.99800000000002,88.0,90.0,1.23,US,1595511564.0
33,pangnirtung,66.15,-65.71,55.4,76.0,90.0,1.5,CA,1595511907.0
34,olafsvik,64.89,-23.71,50.19800000000002,71.0,1.0,7.48,IS,1595511607.0
35,tuktoyaktuk,69.45,-133.04,46.4,81.0,40.0,5.7,CA,1595511739.0
37,hobart,-42.88,147.33,44.99600000000005,86.0,75.0,2.6,AU,1595511618.0
38,kapaa,22.08,-159.32,73.4,94.0,75.0,3.1,US,1595511908.0
39,punta arenas,-53.15,-70.92,37.4,85.0,75.0,10.3,CL,1595511755.0
