,City Name,Lat,Lng,Max_temp,Humidity,Cloudiness,Wind,Country,Date
0,hilo,19.73,-155.09,84.2,58.0,75.0,10.29,US,1595554789.0
1,nikolskoye,59.7,30.79,52.0,81.0,20.0,4.47,RU,1595554789.0
2,bluff,-46.6,168.33,46.78,71.0,100.0,26.64,NZ,1595554789.0
5,oktyabrskoye,43.06,44.74,71.6,53.0,0.0,8.95,RU,1595554790.0
6,saint-joseph,-21.37,55.62,66.2,55.0,90.0,19.46,RE,1595554790.0
7,srednekolymsk,67.45,153.68,89.22,28.0,3.0,6.91,RU,1595554790.0
8,ambilobe,-13.2,49.05,67.39,64.0,68.0,2.62,MG,1595554790.0
9,mataura,-46.19,168.86,44.1,70.0,100.0,9.13,NZ,1595554790.0
10,ushuaia,-54.8,-68.3,39.2,87.0,40.0,16.11,AR,1595554790.0
11,yellowknife,62.46,-114.35,61.0,82.0,75.0,17.22,CA,1595554668.0
12,itirapina,-22.25,-47.82,62.15,57.0,0.0,3.09,BR,1595554686.0
13,mahebourg,-20.41,57.7,68.0,60.0,40.0,12.75,MU,1595554791.0
14,coihaique,-45.58,-72.07,19.4,92.0,7.0,3.36,CL,1595554791.0
15,castro,-24.79,-50.01,56.44,77.0,7.0,3.47,BR,1595554791.0
16,cabo san lucas,22.89,-109.91,89.01,69.0,5.0,18.34,MX,1595554791.0
17,dikson,73.51,80.55,42.49,88.0,0.0,2.68,RU,1595554791.0
18,luderitz,-26.65,15.16,68.0,22.0,0.0,3.36,NA,1595554792.0
19,rikitea,-23.12,-134.97,67.26,59.0,44.0,13.87,PF,1595554792.0
20,chuy,-33.7,-53.46,65.05,94.0,92.0,5.73,UY,1595554792.0
21,vila franca do campo,37.72,-25.43,64.4,72.0,20.0,3.36,PT,1595554792.0
22,manggar,-2.88,108.27,82.29,78.0,100.0,12.88,ID,1595554792.0
23,kapaa,22.08,-159.32,84.99,70.0,40.0,12.75,US,1595554792.0
24,vila,42.03,-8.16,64.0,88.0,0.0,9.17,PT,1595554792.0
25,bredasdorp,-34.53,20.04,51.8,93.0,0.0,5.82,ZA,1595554792.0
26,lagoa,39.05,-27.98,69.04,76.0,1.0,6.06,PT,1595554793.0
